google_name,google_latitude,google_longitude,google_maps_url,google_address,google_place_id,google_cid
Trạm Thu Phí Cầu Ông Bố,10.900781,106.714263,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+C%E1%BA%A7u+%C3%94ng+B%E1%BB%91/data=!4m7!3m6!1s0x3174d7aeb4342d17:0x82c8a21dd3dd14d6!8m2!3d10.9007814!4d106.7142627!16s%2Fg%2F11f70z_z8p!19sChIJFy00tK7XdDER1hTd0x2iyII?authuser=0&hl=vi&rclk=1,"WP27+8P6 Trạm Thu Phí Cầu Ông Bố, ĐT743B, Bình Hòa, Hồ Chí Minh, Việt Nam",ChIJFy00tK7XdDER1hTd0x2iyII,9423960469264995542
Trạm thu phí Lái Thiêu,10.889270,106.701072,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+L%C3%A1i+Thi%C3%AAu/data=!4m7!3m6!1s0x3174d72522fe2d01:0x47732179262f40db!8m2!3d10.8892698!4d106.7010716!16s%2Fg%2F11h80fyqjl!19sChIJAS3-IiXXdDER20AvJnkhc0c?authuser=0&hl=vi&rclk=1,"44 ĐT745, Lái Thiêu, Hồ Chí Minh, Việt Nam",ChIJAS3-IiXXdDER20AvJnkhc0c,5148495603229999323
Trạm thu phí,10.888675,106.700936,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD/data=!4m7!3m6!1s0x3174d7e83de88835:0x11bf14cdf5c67f27!8m2!3d10.8886754!4d106.7009362!16s%2Fg%2F11b8tdpstv!19sChIJNYjoPejXdDERJ3_G9c0UvxE?authuser=0&hl=vi&rclk=1,"Đại lộ Bình Dương, Lái Thiêu, Hồ Chí Minh, Việt Nam",ChIJNYjoPejXdDERJ3_G9c0UvxE,1278763694020788007
Trạm Thu phí Vĩnh Phú,10.888608,106.700991,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+V%C4%A9nh+Ph%C3%BA/data=!4m7!3m6!1s0x3174d700644ebf9d:0x98d2923ebfce26d6!8m2!3d10.8886079!4d106.7009911!16s%2Fg%2F11x0r0gycw!19sChIJnb9OZADXdDER1ibOvz6S0pg?authuser=0&hl=vi&rclk=1,"VPQ2+C9X Trạm Thu phí Vĩnh Phú, Đại lộ Bình Dương, Lái Thiêu, Hồ Chí Minh, Việt Nam",ChIJnb9OZADXdDER1ibOvz6S0pg,11012024837077870294
Thu Phí Lái Thiêu,10.888564,106.701047,https://www.google.com/maps/place/Thu+Ph%C3%AD+L%C3%A1i+Thi%C3%AAu/data=!4m7!3m6!1s0x3174d7e83e1bf44b:0x825dceb76aac2f8c!8m2!3d10.8885635!4d106.7010467!16s%2Fg%2F11vy3nf6nr!19sChIJS_QbPujXdDERjC-sarfOXYI?authuser=0&hl=vi&rclk=1,"Lái Thiêu, Hồ Chí Minh, Việt Nam",ChIJS_QbPujXdDERjC-sarfOXYI,9393891684928728972
Trạm thu phí Vĩnh Phú,10.886868,106.699738,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+V%C4%A9nh+Ph%C3%BA/data=!4m7!3m6!1s0x3174d7dd570203ff:0x4ea22707fe549840!8m2!3d10.886868!4d106.6997385!16s%2Fg%2F11bvtgt33s!19sChIJ_wMCV93XdDERQJhU_gcnok4?authuser=0&hl=vi&rclk=1,"32 Đại lộ Bình Dương, Khu Phố, Lái Thiêu, Hồ Chí Minh, Việt Nam",ChIJ_wMCV93XdDERQJhU_gcnok4,5666134196470716480
Trạm thu phí cầu Bình Triệu,10.824122,106.713746,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+c%E1%BA%A7u+B%C3%ACnh+Tri%E1%BB%87u/data=!4m7!3m6!1s0x31752885a6775223:0x389d553beef0a113!8m2!3d10.8241223!4d106.7137456!16s%2Fg%2F12hl__6nn!19sChIJI1J3poUodTERE6Hw7jtVnTg?authuser=0&hl=vi&rclk=1,"QL13, Hiệp Bình, Hồ Chí Minh, Việt Nam",ChIJI1J3poUodTERE6Hw7jtVnTg,4079510553367716115
Trạm Thu phí Xa Lộ Hà Nội,10.819020,106.757905,https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Xa+L%E1%BB%99+H%C3%A0+N%E1%BB%99i/data=!4m7!3m6!1s0x31752778bb989779:0xc6030065798eb994!8m2!3d10.81902!4d106.7579055!16s%2Fg%2F11srjkf37v!19sChIJeZeYu3gndTERlLmOeWUAA8Y?authuser=0&hl=vi&rclk=1,"B11 Đường 106, Khu phố 1, Thủ Đức, Hồ Chí Minh, Việt Nam",ChIJeZeYu3gndTERlLmOeWUAA8Y,14268248480270956948
Trạm thu phí xa lộ Hà Nội,10.819688,106.758178,https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+xa+l%E1%BB%99+H%C3%A0+N%E1%BB%99i/data=!4m7!3m6!1s0x31752718b4f7f06b:0x12f7e62c9c65ed65!8m2!3d10.8196881!4d106.7581781!16s%2Fg%2F11p777n90t!19sChIJa_D3tBgndTERZe1lnCzm9xI?authuser=0&hl=vi&rclk=1,"249 Võ Nguyên Giáp, Thủ Đức, Hồ Chí Minh, Việt Nam",ChIJa_D3tBgndTERZe1lnCzm9xI,1366814091207109989
Xi Măng Hà Tiên - Trạm Thu Phí - 249B - Xa Lộ Hà Nội,10.820760,106.758669,https://www.google.com/maps/place/Xi+M%C4%83ng+H%C3%A0+Ti%C3%AAn+-+Tr%E1%BA%A1m+Thu+Ph%C3%AD+-+249B+-+Xa+L%E1%BB%99+H%C3%A0+N%E1%BB%99i/data=!4m7!3m6!1s0x3175264ffb40686d:0x4c06b80c92d8abb5!8m2!3d10.8207599!4d106.7586688!16s%2Fg%2F11_rjr4zp!19sChIJbWhA-08mdTERtavYkgy4Bkw?authuser=0&hl=vi&rclk=1,"Phước Long, Hồ Chí Minh, Việt Nam",ChIJbWhA-08mdTERtavYkgy4Bkw,5478268360885578677
