google_name,google_latitude,google_longitude,google_address,google_maps_url,google_place_id,google_cid
Trạm thu phí Diên Thọ,12.254518,109.0237874,"723F+RG3, Diên Thọ, Khánh Hòa, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Di%C3%AAn+Th%E1%BB%8D/data=!4m7!3m6!1s0x31705114234629c3:0x6fabcbccb12e32e0!8m2!3d12.254518!4d109.0237874!16s%2Fg%2F11vlvbk772!19sChIJwylGIxRRcDER4DIusczLq28?authuser=0&hl=vi&rclk=1,ChIJwylGIxRRcDER4DIusczLq28,0x31705114234629c3:0x6fabcbccb12e32e0
Trạm thu phí Dương Kinh,20.776114,106.723902,"QPGF+CHR Trạm Thu phí Dương Kinh, Dương Kinh, Hải Phòng, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+D%C6%B0%C6%A1ng+Kinh/data=!4m7!3m6!1s0x314a6e29dc6eb3d7:0x47710169a3932e3d!8m2!3d20.7761144!4d106.7239025!16s%2Fg%2F11b5wkj957!19sChIJ17Nu3CluSjERPS6To2kBcUc?authuser=0&hl=vi&rclk=1,ChIJ17Nu3CluSjERPS6To2kBcUc,5147897402288713277
Trạm thu phí Dầu Giây,10.918303,107.163982,"Trạm thu phí Dầu Giây, ĐCT Thành phố Hồ Chí Minh - Long Thành - Dầu Giây, Dầu Giây, Đồng Nai, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+D%E1%BA%A7u+Gi%C3%A2y/data=!4m7!3m6!1s0x3174fc690874042f:0xbb3689f10ee85bca!8m2!3d10.9183029!4d107.1639825!16s%2Fg%2F11c1nch_b2!19sChIJLwR0CGn8dDERylvoDvGJNrs?authuser=0&hl=vi&rclk=1,ChIJLwR0CGn8dDERylvoDvGJNrs,13490121402265131978
Trạm thu phí Ea Đar,12.812957,108.511572,"RG76+5JP Trạm Thu phí Ea Đar, Ea Đar, Ea Kar, Đắk Lắk, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Ea+%C4%90ar/data=!4m7!3m6!1s0x3171df0024e23181:0xedbf03015eb4f5c!8m2!3d12.8129567!4d108.511572!16s%2Fg%2F11lmhftr8f!19sChIJgTHiJADfcTERXE_rFTDw2w4?authuser=0&hl=vi&rclk=1,ChIJgTHiJADfcTERXE_rFTDw2w4,1070713425747464028
Trạm thu phí Hoà Phước,16.0046282,108.246048,"263W+VC3, Quảng Nam, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+Ho%C3%A0+Ph%C6%B0%E1%BB%9Bc/@16.0046282,108.246048,17z/data=!3m1!4b1!4m6!3m5!1s0x314211002803bfd5:0x866ac438de653492!8m2!3d16.0046282!4d108.246048!16s%2Fg%2F11njrx82nx?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x314211002803bfd5:0x866ac438de653492
Trạm thu phí Hoàng Mai,19.3019039,105.7242358,"AH1, Hoàng Mai, Nghệ An, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+Ph%C3%AD+Ho%C3%A0ng+Mai,+AH1,+Ho%C3%A0ng+Mai,+Ngh%E1%BB%87+An,+Vi%E1%BB%87t+Nam/@19.3019039,105.7242358,17z/data=!3m1!4b1!4m6!3m5!1s0x31370b0631ba47d3:0x514cec1b205bf852!8m2!3d19.3019039!4d105.7242358!16s%2Fg%2F11bx1_g2qf?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x31370b0631ba47d3:0x514cec1b205bf852
Trạm thu phí Hà Nội - Bắc Giang,21.090344,105.960513,"3XR6+46J Trạm Thu phí Hà Nội - Bắc Giang, AH1, Từ Sơn, Bắc Ninh, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+H%C3%A0+N%E1%BB%99i+-+B%E1%BA%AFc+Giang/data=!4m7!3m6!1s0x313507f8f0c615c7:0xf85cec9539900094!8m2!3d21.0903439!4d105.9605126!16s%2Fg%2F11cs0bb15g!19sChIJxxXG8PgHNTERlACQOZXsXPg?authuser=0&hl=vi&rclk=1,ChIJxxXG8PgHNTERlACQOZXsXPg,17896439144923529364
Trạm thu phí Hạ Hoà (IC11),21.533157,104.972637,"GXMF+736 Trạm Thu phí Hạ Hoà (IC11), Văn Lang, Phú Thọ, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+H%E1%BA%A1+Ho%C3%A0+%28IC11%29/data=!4m7!3m6!1s0x313361319417e5b3:0xad7ed9c1bf8e091e!8m2!3d21.5331573!4d104.9726372!16s%2Fg%2F11h1zdj_79!19sChIJs-UXlDFhMzERHgmOv8HZfq0?authuser=0&hl=vi&rclk=1,ChIJs-UXlDFhMzERHgmOv8HZfq0,12501669041792747806
Trạm thu phí Hải Hà,21.4650905,107.7058191,"FP84+28P, Quảng Đức, Quảng Ninh, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+H%E1%BA%A3i+H%C3%A0/@21.4650905,107.7058191,17z/data=!3m1!4b1!4m6!3m5!1s0x314b492f469c0df7:0xf8ffe4c1f81ae76f!8m2!3d21.4650905!4d107.7058191!16s%2Fg%2F11sbrbplmn?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x314b492f469c0df7:0xf8ffe4c1f81ae76f
Trạm thu phí hầm Cù Mông,13.703552,109.174479,"P53F+CQH Trạm thu phí hầm Cù Mông, khu vực 8, Quy Nhơn Tây, Gia Lai, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+h%E1%BA%A7m+C%C3%B9+M%C3%B4ng/data=!4m7!3m6!1s0x316f13389e5dfb65:0x272d2caee5252b88!8m2!3d13.7035521!4d109.1744789!16s%2Fg%2F11fk3d3hxq!19sChIJZftdnjgTbzERiCsl5a4sLSc?authuser=0&hl=vi&rclk=1,ChIJZftdnjgTbzERiCsl5a4sLSc,2822961671111519112
Trạm thu phí hầm Hải Vân,16.228523,108.084722,"63HM+CV5 Trạm thu phí hầm Hải Vân, Chân Mây - Lăng Cô, Huế, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+h%E1%BA%A7m+H%E1%BA%A3i+V%C3%A2n/data=!4m7!3m6!1s0x31422724a0fd76b3:0x9bbe411651e81dea!8m2!3d16.2285227!4d108.0847222!16s%2Fg%2F11c311d05k!19sChIJs3b9oCQnQjER6h3oURZBvps?authuser=0&hl=vi&rclk=1,ChIJs3b9oCQnQjER6h3oURZBvps,11222478885573107178
Trạm thu phí Hầm Đèo Cả,12.903225,109.365703,"W938+77 Trạm Thu phí Hầm Đèo Cả, Hòa Xuân, Đắk Lắk, Việt Nam",https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+H%E1%BA%A7m+%C4%90%C3%A8o+C%E1%BA%A3/data=!4m7!3m6!1s0x316fe5b33809e3b5:0xbe2959acacd59cb!8m2!3d12.9032248!4d109.365703!16s%2Fg%2F11rqncv7b2!19sChIJteMJOLPlbzERy1nNypqV4gs?authuser=0&hl=vi&rclk=1,ChIJteMJOLPlbzERy1nNypqV4gs,856411371213773259
